300,20170518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,,,2.01705E+13
300,20170519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0.014,0.005,0.004,0.005,0.005,0.004,0.005,0.005,0.004,0.005,0.005,0.005,0.004,0.005,0.005,0.004,0.005,0.004,0.005,0.005,0.004,0.005,0.005,0.004,0.005,0.005,0.005,0.004,0.005,0.004,A,,,2.01705E+13
300,20170520,0.005,0.005,0.004,0.005,0.004,0.005,0.005,0.004,0.005,0.004,0.005,0.005,0.004,0.005,0.004,0.005,0.005,0.004,0.005,0.024,0.041,0.023,0.027,0.165,0.043,0.017,0.023,0.013,0.014,0.022,0.005,0.023,0.008,0.02,0.017,0.01,0.023,0.005,0.023,0.014,0.013,0.021,0.007,0.022,0.005,0.023,0.007,0.021,A,,,2.01705E+13
300,20170521,0.011,0.015,0.018,0.01,0.021,0.006,0.022,0.005,0.023,0.005,0.028,0.046,0.007,0.028,0.012,0.015,0.02,0.008,0.021,0.005,0.021,0.006,0.02,0.014,0.012,0.022,0.005,0.022,0.007,0.02,0.014,0.012,0.022,0.005,0.023,0.01,0.017,0.02,0.007,0.022,0.005,0.022,0.008,0.019,0.014,0.013,0.019,0.007,A,,,2.01705E+13
300,20170522,0.021,0.005,0.022,0.005,0.022,0.008,0.019,0.009,0.018,0.011,0.016,0.014,0.013,0.014,0.012,0.017,0.009,0.021,0.005,0.022,0.005,0.022,0.005,0.022,0.005,0.022,0.008,0.018,0.015,0.011,0.023,0.005,0.022,0.012,0.015,0.022,0.005,0.023,0.011,0.016,0.021,0.007,0.022,0.006,0.022,0.013,0.014,0.022,A,,,2.01705E+13
300,20170523,0.005,0.022,0.006,0.022,0.012,0.015,0.02,0.008,0.022,0.005,0.022,0.007,0.02,0.012,0.015,0.019,0.175,0.361,0.066,0.106,0.052,0.046,0.028,0.013,0.032,0.014,0.029,0.009,0.026,0.015,0.02,0.018,0.017,0.023,0.012,0.029,0.005,0.03,0.007,0.027,0.011,0.023,0.014,0.019,0.018,0.015,0.019,0.014,A,,,2.01705E+13
300,20170524,0.019,0.014,0.018,0.015,0.017,0.016,0.014,0.019,0.011,0.021,0.009,0.023,0.007,0.024,0.005,0.027,0.005,0.027,0.005,0.027,0.005,0.022,0.049,0.019,0.033,0.013,0.023,0.009,0.024,0.009,0.023,0.009,0.023,0.01,0.024,0.007,0.027,0.005,0.028,0.005,0.026,0.006,0.024,0.007,0.024,0.008,0.024,0.008,A,,,2.01705E+13
300,20170525,0.021,0.011,0.018,0.014,0.015,0.016,0.012,0.02,0.01,0.022,0.007,0.024,0.005,0.026,0.005,0.027,0.042,0.059,0.056,0.052,0.058,0.012,0.022,0.009,0.023,0.01,0.022,0.01,0.024,0.009,0.024,0.009,0.024,0.008,0.023,0.009,0.023,0.009,0.022,0.028,0.07,0.8,0.058,0.07,0.067,0.01,0.028,0.008,A,,,2.01705E+13
300,20170526,0.03,0.006,0.032,0.006,0.031,0.007,0.024,0.014,0.017,0.021,0.009,0.029,0.005,0.03,0.008,0.032,0.074,0.013,0.028,0.005,0.031,0.006,0.024,0.014,0.016,0.021,0.011,0.027,0.006,0.033,0.006,0.03,0.009,0.027,0.011,0.026,0.014,0.021,0.017,0.017,0.031,0.086,0.079,0.052,0.063,0.023,0.032,0.006,A,,,2.01705E+13
300,20170527,0.032,0.008,0.025,0.032,0.058,0.04,0.01,0.029,0.015,0.018,0.022,0.009,0.03,0.005,0.033,0.006,0.025,0.013,0.018,0.02,0.01,0.048,0.053,0.09,0.054,0.073,0.048,0.061,0.034,0.041,0.06,0.044,0.048,0.038,0.067,0.244,0.076,0.172,0.295,0.074,0.879,0.079,0.077,0.105,0.086,0.037,0.02,0.024,A,,,2.01705E+13
